genes,name,source,SystemsTerm,NonSystemsTerm,Systems_Publications,Cancer_Publications,MutationNumber,GeneNumber
KAT2A|TAF12|TAF10|SKP2|HBP1|RUVBL1|AXIN1|RUVBL2|SUPT3H|PDZD2|PML|MYC|FBXW7|CDKN2A|TRRAP|ZBTB17|PPP2CA|MAX|SUPT7L|KAT5|TAF9|GSK3B|ACTL6A|PPP2R5A|PAK2,C-MYC pathway,PID,"(myc AND cancer) AND (""systems biology"" OR computational)",(myc AND cancer),545,24821,258,25
BID|BAK|BAX|BCL2|CASP8|TP53|NOXA1|FASLG|FAS|TNF|TNFRSF1A|TRADD|CYCS|APAF1|BCL2L1|BAD|BBC3|BCL2L11|CASP3|RIPK1|FADD|CASP9,Mitochondrial Control of Apoptosis,Signor,"((mitochondrial AND apoptosis) OR (intrinstic AND apoptosis) AND cancer) AND (""systems biology"" OR computational)",((mitochondrial AND apoptosis) OR (intrinstic AND apoptosis) AND cancer),201,21182,431,22
ABI1|CYFIP2|ENAH|EGFR|EPHA2|ROCK1|CTNNB1|IGF1|MYL2|CTNND1|MYO6|EGF|NCKAP1|DIAPH1|ARF6|KIFC3|NECTIN2|ZYX|CDH1|IGF1R|AQP5|AQP3|RHOA|VCL|EFNA1|LPP|MOGAT3|HGF|VASP|CTNNA1|EXOC7|EXOC3|ACTN1|NCK1|EXOC4|PIP5K1C|LIMA1|AFDN|STX4|MET|PLEKHA7|GIT1|CAMSAP3,Stabilization and expansion of the E-cadherin adherens junction,PID,"(E-cadherin AND cancer) AND (""systems biology"" OR computational)",(E-cadherin AND cancer),160,17120,530,43
MAP4K1|GRAP2|TIMP1|HRAS|SPRED1|SPRED2|GAB1|FOXO3|AKT1|MAP2K1|VTRNA2-1|PTENP1|KIT|STAT3|CRKL|STAT1|SNAI2|PIK3CA|TEC|RPS6KB1|PTPN6|MAPK3|STAP1|DOK1|JAK2|PIK3R1|MAPK8|SHC1|PIK3C2B|LAMP5|SH2B2|SH2B3|FER|KITLG|LYN|EPOR|SOCS1|SOS1|MAP2K2|VAV1|GRB10|PTPN11|PRRT2|GSK3B|STAT5A|GRB2|BRAF|PTPRO|PDPK1|MATK|CREBBP|BCL2|CSF2RB|IL7R|HSPA7|GRAP2|CRKL|HRAS|SPRED1|SPRED2|DRD3|FOXO3|P2RX1|PLCG1|FGR|PKD2L1|MITF|CRK|FRA6G|YES1|RAB3IL1|UXT|HRH2|PIK3CA|LNX1|FYN|GNG4|APOH|PTPN6|MAPK3|DOK1|JAK2|JAK3|PIK3R1|CST2|FLII|MYRF|GNAQP1|SH3KBP1|PIK3R2|EPOR|SHC1|NCOA3|PRKCA|PRKCB|ABL1|COL4A5|CNGA3|SH2B2|SH2B3|HCK|KITLG|EP300|LYN|SOCS5|RPS6KA1|PTPRU|SOCS6|SOCS1|SOS1|CNN2|VAV1|GRB10|TNFRSF10A|GSK3A|LAMP5|CBL|STAT5B|STAT5A|GRB2|MAPK1|WIPF1|MMAB|MATK|BTK,Signaling events mediated by Stem cell factor receptor (c-Kit),PID,"(KIT AND cancer) AND (""systems biology"" OR computational)",(KIT AND cancer),141,16728,1382,125
CCNE1|YY1|RRAGD|RPS6KB1|HRAS|CYCS|PPARGC1A|IKBKB|AKT1|MAP2K1|REXO2|DDIT4|RB1CC1|RICTOR|TSC2|PLD2|TSC1|RPTOR|RHEBP1|POLDIP3|YWHAQ|NRAS|PRR5|MAPKAP1|MAPK3|YWHAH|AKT1S1|YWHAB|PDCD4|BNIP3|YWHAG|YWHAE|ULK2|EEF2K|ULK1|RRAGA|RRAGC|RRAGB|PRKCA|RRN3|ATG13|MTOR|PML|MLST8|KRAS|EIF4B|RPS6KA1|EIF4E3|YWHAZ|DEPTOR|PLD1|SGK1|MAP2K2|IRS1|CLIP1|MAPK1|CDK2|SREBF1|EIF4EBP1|BRAF|PDPK1|EIF4A1|EEF2|LAMTOR1|PRKAA1|TSC1|TSC2|AKT1|SREBF1|PPARGC1A|EIF4E|PTEN|PIK3CA|IRS1|PIK3R1|PDPK1|RICTOR|MLST8|MAPKAP1|ULK1|RPS6KA1|GSK3B|EIF4EBP1|INS|INSR|MTOR|RPS6KB1|MAPK1|MAPK3|PPARG|RPTOR|RHEB|AKT1S1|RPS6|TFEB,mTOR signaling pathway,PID,"(MTOR AND cancer) AND (""systems biology"" OR computational)",(MTOR AND cancer),383,15839,1049,95
CRKL|SMAD7|RAP1B|RAP1A|AKT1|MAP2K1|VTRNA2-1|IL1B|CEBPB|CALM2|CALM3|STAT1|PIK3CA|MAP3K1|MAPK3|MAPK1|JAK2|PIK3R1|JAK1|IFNG|DAPK1|CAMK2D|CAMK2G|CAMK2A|CAMK2B|PRKCD|MTOR|PTPN2|EP300|RAPGEF1|IRF1|SOCS1|CASP1|PTGES2|PTPN11|MAP3K11|PIAS1|PIAS4|IRF9|CREBBP|IFNGR1,IFN-gamma pathway,PID,"(IFN gamma AND cancer) AND (""systems biology"" OR computational)",(IFN gamma AND cancer),77,14801,345,41
WNT3A|SOST|RYK|RNU6-664P|WIF1|KREMEN2|FZD10|KREMEN1|FZD1|FZD2|FZD4|FZD6|FZD7|FZD8|FZD9|ATP6AP2|IGFBP4|ROR2|RSPO1|LRP6|LRP5|WNT3|WNT2|WNT1|DKK1|WNT5A|WNT7A|CTHRC1|WNT7B|LRP6|GSK3B|Axin1|APC|LRP5|DVL1|GNAS|JUN|LEF1|MYC|CREB1|WNT5A|FZD1|WNT3A|WNT11|WNT7A|WNT1|ADCY1|cAMP|PRKACA|ROCK1|MAPK8|RAC1|CTNNB1|PITX2|DAAM1|SFRP1|BMI1|RHOA|DKK1|RYK|KRT35|RNU6-664P|PGK1P2|DAB2|PR@|ARHGEF4|MAP3K1|CSNK1D|CSNK1E|CDH2|SETDB1|HTC1|GPI|DAAM1|CTSC|KCNN1|CXCL10|MAN1A1|ROR1|RSPO3|RSPO2|RSPO1|CCND1|PPP2CA|FZR1|GSK3A|TCF7L2|GSK3B|DVL1P1|APOBEC1|DIXDC1|CTBP2|WNT7B|UGCG|PI4K2A|FZD10|WNT4|CTBP1-AS2|PPP1R1B|JUP|HTR2A|TCF3|FRZB|PPARG|TNPO1|RHOA|CSNK1A1|GPR143|FRAT1|FRAT2|CNGA3|PDZD2|WNT5B|WNT5A|PROC|WNT3A|NFATC2|ARRB2|ARRB1|FZD1|FZD2|FZD3|FZD6|FZD7|FZD8|FZD9|MARK2|MAPK8|ERN2|PFDN4|SFRP2|SFRP1|LRP5|WNT3|WNT2|WNT1|KL|PRKACA|CDK6|MYF5|CTNNB1|MAP2K4|SOX1|KREMEN1|NEFM|SLC9A3R1|DVL2|DVL3|YWHAB|COX5BP1|C1D|ARHGAP35|KLRC2|PRKCA|PRKCB|PRKCG|GPC3|LMNA|MESD|NKS1|PPP1CA|BTRC|DKK1|WNT9B|WNT9A,Wnt signaling network,PID,"(WNT AND cancer) AND (""systems biology"" OR computational)",(WNT AND cancer),480,14587,1501,165
ATG10|ATG12|ATG5|ATG16L1|MTMR3|RPTOR|MTOR|GABARAP|PRKAA1|ULK1|ATG13|RB1CC1|BECN1|MAP1LC3C|ATG3|GABARAPL2|ATG7|ATG4B|ATG14|PIK3C3|UVRAG|GABARAPL1|SQSTM1|AMBRA1,Autophagy,Signor,"(autophagy AND cancer) AND (""systems biology"" OR computational)",(autophagy AND cancer),229,13603,222,24
RNASE1|CTTN|GRIA2|CTNNB1|PLCG1|MYL2|CTNND1|DCTN1|RHOA|GSN|CALM2|CALM3|AXIN1|PIK3CA|JUP|PIK3R1|MAPK8|CDH2|MAPRE1|DAGLA|DAGLB|CAMK2G|FER|PTPN1|CTNNA1|FGFR1|GJA1|GAP43|PCDHA4|LRP5|PIP5K1C|KIF5B|ROCK1|PTPN11|CDC42,N-cadherin signaling events,PID,"(N-cadherin AND cancer) AND (""systems biology"" OR computational)",(N-cadherin AND cancer),120,12548,416,35
WNT3A|CTNNB1|LRP6|CSNK1A1|AXIN1|SKP1|DVL1P1|BTRC|GSK3A|RNU6-664P|DVL2|DVL3|CSNK1D|CSNK1E|APC|GSK3B|CUL1|AXIN2,Degradation of beta catenin,PID,"((""beta catenin"" AND degradation) AND cancer) AND (""systems biology"" OR computational)","((""beta catenin"" AND degradation) AND cancer)",201,12502,194,18
PGF|VEGFD|VEGFA|NRP2|VEGFC|VEGFB|FLT4|NRP1|KDR|FLT1,VEGF and VEGFR signaling network,PID,"(VEGFR AND cancer) AND (""systems biology"" OR computational)",(VEGFR AND cancer),131,12337,203,10
STAT6|SOCS1|IFNG|IFNGR2|INFGR1|TLR4|TICAM2|IRF4|MAP2K4|MAPK8|JAK2|IL4|IL4R|IKBKB|KDM6B|PPARG|RIPK1|MAP3K1|TICAM1|RELA|NFKB1|IL13|STAT3|IL10|IL10RA,Macrophage polarization,Signor,"((macrophage AND activation) AND cancer) AND (""systems biology"" OR computational)",((macrophage AND activation) AND cancer),117,12228,261,25
ERBB2|FBXW11|HMGN2|FYN|DNM2|HLA-G|MAP2K1|PSMA6|L1CAM|CRYGA|PTPN1|CENPJ|YWHAZ|RAB3IL1|STAT5A|STAT5B|PRLR|PIK3CA|THRB|VAV1|PTPN6|GNG4|JAK2|PIK3R2|PIK3R1|GLP1R|CST2|TNFRSF8|MYB|YWHAG|ITGB1|SHC1|SIRPA|NCOA3|SOCS2|RPS6KB1|PLAU|SLC25A4|GIF|SH2B1|LCP2|FADS3|EP300|CTNNA1|SOCS4|SOCS1|SOCS3|SOS1|CNN2|HEXA|METTL1|BTRC|CBL|PTP4A2P1|PIAS3|GPX3|GRB2|EIF4EBP1|CREBBP|GNA11|FLNA|HLTF|ODCP|PPIB|PPIA|PPP2CA,Prolactin Signalling Pathway,NetPath,"(prolactin AND cancer) AND (""systems biology"" OR computational)",(prolactin AND cancer),18,10602,641,66
KDM1A|SVIL|ZNF318|CARM1|PRDX1|PELP1|CTNNB1|AKT1|PTK2B|NRIP1|TCF7L2|HIP1|XRCC6|NCOA2|KDM4C|NCOA6|NCOA4|PIAS3|XRCC5|UBE3A|FHL2|RANBP9|CDK6|TGFB1I1|GSN|CTDSP1|CTDSP2|ALPK3|CDKN2A|NKX3-1|TMF1|HNRNPA1|CDK11B|APPL1|KLK3|AR|SNRPN|UBA3|PATZ1|PAWR|PRKDC|PA2G4|UBE2I|RPS6KA3|LATS2|CCND1|CCND3|BRCA1P1|KLK2|CASP8|SPATA6|TMPRSS2|MBD4|PIAS1|PIAS4|CMTM2|FKBPL|ZMIZ1|KDM3A|VAV3|TGIF1,Coregulation of Androgen receptor activity,PID,"(""androgen receptor"" AND cancer) AND (""systems biology"" OR computational)","(""androgen receptor"" AND cancer)",169,9922,681,61
CDKN1A|CCNB1|CDK1|CDKN2A|CCND1|CDK4|CDC25A|GSK3B|E2F1|CCNE1|CDK2|CDKN1B|BRCA1|RB1|BUB1|MRE11|RAD50|NBS1|HIPK2|TP53|CHEK2|CHEK1|PRKDC|MDM2|ATM|AKT|RAD51|RAD52|ATR|MYC|ABL1|CDKN2B|SMAD3|TGFB1|TGFBR1,Cell cycle_ G2_M phase transition,Signor,"(G2/M AND cancer) AND (""systems biology"" OR computational)",(G2/M AND cancer),117,9595,714,35
RASGRP2|RASGRP3|RASGRP1|RASGRP4|HRAS|RRAS|RASA4|PLCE1|SOS2|RASAL1|CALM2|CALM3|NRAS|SOS1|NF1|PRKCB|PRKCA|PRKCE|RABGEF1|DAB2IP|CAMK2B|SYNGAP1|PRKCZ|LGALS3|LGALS1|RASA1|RASA2|KRAS|RASGRF1|RASGRF2|RIN1|PRRT2|GRB2,Regulation of Ras family activation,PID,"((RAS AND regulation) AND cancer) AND (""systems biology"" OR computational)",((RAS AND regulation) AND cancer),199,9526,607,33
MAP2K4|MAPK8|BAX|BCL2L11|MAPK8IP1|TNFRSF1B|TRAF2|MAP3K7|TRAF1|ATF2|RIPK1|MAP3K1|SMAD3|MAP4K2|MAP2K6|CRK|YWHAZ|GRB2|MAP4K1|ELK1|JUN|NFATC2|SH3RF1,SAPK_JNK Signaling,Signor,"((SAPK OR JNK) AND cancer) AND (""systems biology"" OR computational)",((SAPK OR JNK) AND cancer),84,8571,176,23
CSF2RB|CCL2|CSF2RA|HRAS|GAB2|IKBKB|MAP2K2|MAP2K1|YWHAZ|STAT3|STAT1|PIK3CA|FOS|NRAS|PRKACG|MAPK3|MAPK1|JAK2|CISH|PIK3R1|OSM|LYN|SHC1|PIM1|KRAS|INPP5D|SOS1|SYK|PTPN11|IRF8|CSF2|STAT5B|STAT5A|GRB2|PRKACA|BRAF|PRKACB,GMCSF-mediated signaling events,PID,"(GMCSF AND cancer) AND (""systems biology"" OR computational)",(GMCSF AND cancer),19,8171,532,37
CRKL|IKBKB|PTK2B|RAPGEF1|PKD2L1|L1CAM|PDE9A|DLG1|MAP3K8|COL11A2|ARHGEF6|ARHGEF7|MAP3K1|GRAP2|FLII|GLP1R|LYN|JAK3|CD28|SHC1|MUC1|CREB1|MUC4|SOS2|CD4|CD5|SYK|PTPN12|NEDD9|PLCG1|CD2AP|GRB2|MMAB|CD3D|CD3E|RASGRP2|NFATC1|NFATC2|CD2|SKAP2|SLC7A7|ENAH|SKAP1|KHDRBS1|DNM2|CRK|ICOSLG|CABIN1|EGR1|TFRC|PIK3R2|PIK3R1|DLX2|CTLA4|FOS|TRA|CHUK|SHB|CNGA3|PTPN3|PTPN6|RELA|VAV1|DNAJC5|CBL|STK39|LCK|CREBBP|PAG1|MAPK14|CTNNA1|SH3BP2|TUBA4A|ABL1|PSTPIP1|NCOA3|STAT4|CYP1B1|CD80|SLA2|TBC1D5|USP19|CD86|DOCK2|MAPK1|DUSP9|CST2|MOBP|MAPK9|DUSP3|NFKBIA|NTF4|SH2B3|CD8A|IDDM16|FADS3|MYRF|LIME1|SOS1|CCKAR|TAPBP|STAT5B|STAT5A|PRKD2|CDC42|MAP4K1|PTK2|DTX1|TTF1|CTNNB1|MAP2K1|CD247|SH2D3C|ZNF17|PTPN22|RAB3IL1|CEBPA|TXK|WIPF1|UNC119|TRAT1|FYN|DOK2|DOK1|ARHGDIB|PSMC6|YWHAZ|TRAF6|CEBPB|CARD11|HCRT|SLN|PRKCQ|LCP2|UCP3|BCL10|CCNB2|SLC6A20|FYB|WASF2|NFAM1|MAP3K14|PPP3CB|ATF2|PTPRH,TCR Signaling Pathway,NetPath,"(TCR AND cancer) AND (""systems biology"" OR computational)",(TCR AND cancer),89,8063,1437,145
NFKBIB|CDKN1B|HRAS|HSPA8|MAPK14|RPS6|TSHR|ASS1P10|CANX|GNAI1|STAT3|PIK3CA|RPS6KB1|CDK2|CA5AP1|JAK2|PIK3R2|PIK3R1|CHGA|LINC00441|PRKACA|BSG|PGK2|AF8T|IGF1R|NFKBIA|SHC1|JAK1|GYS2|TNC|PCDH8|GNAO1|SOCS1|SOCS3|GNAS|SLC16A1|CCND3|CNN2|CA6|SCRIB|GPX3|GNA12|ATP1A1|GNA11|TSHB|ASS1P2|ATF2,TSH Signalling Pathway,NetPath,"(""throid stimulating hormone"" AND cancer) AND (""systems biology"" OR computational)",thyroid stimulating hormone AND cancer ,0,7947,409,47
RFWD2|RAD9A|ATM|FANCD2|ABL1|RAD17|CTBP1-AS2|XRCC4|UIMC1|FAM175A|SMC3|DCLRE1C|NBN|MRE11|YWHAB|CHEK2|SMC1A|TRIM28|CDC25C|MDC1-AS1|CDC25A|BLM|TP53BP1|MDM2|RBBP8|UBE2N|BRCA1P1|H2AFX|KAT5|TERF2|RNF8|RAD50|TOP3A|BID,ATM pathway,PID,"(ATM AND cancer) AND (""systems biology"" OR computational)",(ATM AND cancer),126,6407,277,34
